,Release Date,Actual,Forecast
344,"Mar 01, 1996  (Feb)",431K,
345,"Feb 02, 1996  (Jan)",-19K,
346,"Jan 05, 1996  (Dec)",133K,
347,"Dec 01, 1995  (Nov)",149K,
348,"Nov 03, 1995  (Oct)",154K,
349,"Oct 06, 1995  (Sep)",242K,
350,"Sep 01, 1995  (Aug)",248K,
351,"Aug 04, 1995  (Jul)",102K,
352,"Jul 07, 1995  (Jun)",235K,
353,"Jun 02, 1995  (May)",-16K,
354,"May 05, 1995  (Apr)",162K,
355,"Apr 07, 1995  (Mar)",222K,
356,"Mar 03, 1995  (Feb)",203K,
357,"Feb 03, 1995  (Jan)",326K,
358,"Jan 06, 1995  (Dec)",275K,
359,"Dec 02, 1994  (Nov)",420K,
360,"Nov 04, 1994  (Oct)",213K,
361,"Oct 07, 1994  (Sep)",352K,
362,"Sep 02, 1994  (Aug)",277K,
363,"Aug 05, 1994  (Jul)",378K,
364,"Jul 01, 1994  (Jun)",316K,
365,"Jun 03, 1994  (May)",334K,
366,"May 06, 1994  (Apr)",349K,
367,"Apr 01, 1994  (Mar)",465K,
368,"Mar 04, 1994  (Feb)",200K,
369,"Feb 04, 1994  (Jan)",272K,
370,"Jan 07, 1994  (Dec)",312K,
371,"Dec 03, 1993  (Nov)",262K,
372,"Nov 05, 1993  (Oct)",286K,
373,"Oct 01, 1993  (Sep)",239K,
374,"Sep 03, 1993  (Aug)",160K,
375,"Aug 06, 1993  (Jul)",298K,
376,"Jul 02, 1993  (Jun)",181K,
377,"Jun 04, 1993  (May)",267K,
378,"May 07, 1993  (Apr)",308K,
379,"Apr 02, 1993  (Mar)",-49K,
380,"Mar 05, 1993  (Feb)",242K,
381,"Feb 05, 1993  (Jan)",310K,
382,"Jan 01, 1993  (Dec)",211K,
383,"Dec 04, 1992  (Nov)",138K,
384,"Nov 06, 1992  (Oct)",180K,
385,"Oct 02, 1992  (Sep)",36K,
386,"Sep 04, 1992  (Aug)",141K,
387,"Aug 07, 1992  (Jul)",68K,
388,"Jul 03, 1992  (Jun)",67K,
389,"Jun 05, 1992  (May)",127K,
390,"May 01, 1992  (Apr)",159K,
391,"Apr 03, 1992  (Mar)",54K,
392,"Mar 06, 1992  (Feb)",-63K,
393,"Feb 07, 1992  (Jan)",53K,
394,"Jan 03, 1992  (Dec)",25K,
395,"Dec 06, 1991  (Nov)",-57K,
